Type,Asset,Title,Description,URL
GPT,Trends & Topics,Retail Banking & Consumer Payments,"Get data-driven insights into consumer payment behavior and adoption trends, focusing on emerging technologies, demographic patterns, and market innovations. It provides actionable guidance for researchers and analysts to understand shifting consumer preferences and identify growth opportunities in the evolving financial landscape.",https://chatgpt.com/g/g-67818c6ab6ac81918690089b21641250-retail-banking-consumer-payments
GPT,Trends & Topics,Workplace & Employee Engagement Insights 2025,"Get actionable insights into workplace and employee engagement trends for 2024 and 2025. This GPT synthesizes reputable research to help leaders understand priorities like employee well-being, AI's workplace role, and leadership's impact on culture.",https://chatgpt.com/g/g-6784588baf988191b2f09aba0295805e-workplace-employee-engagement-insights-2025
GPT,Trends & Topics,Media Trends for 2025,"This GPT uses real readership data to provide insights into media trends, CEO leadership, and industry readership. It helps users understand media bias, crisis management, and executive reputation while predicting emerging business and political narratives.",https://chatgpt.com/g/g-67aa8b90f40881918330b029a0f1c8f4
GPT,Trends & Topics,"TikTok Trends, Insights & Usage","Get data-driven insights into TikTok's consumer trends, platform evolution, and its role in shaping digital culture. This GPT offers strategic guidance for leveraging TikTok's features, audience dynamics, and marketing opportunities to stay ahead in the social media landscape.",https://chatgpt.com/g/g-678165a6167c8191942a76df1084fffc-tiktok-trends-insights-usage
GPT,Trends & Topics,Global Digital Media Trends 2025,"Get actionable insights into global digital media consumption trends, user preferences, and emerging technologies shaping platform engagement. This tool aids researchers and strategists in analyzing regional patterns, identifying new opportunities, and crafting data-driven strategies to navigate the evolving digital landscape.",https://chatgpt.com/g/g-6781d2d47c908191afc3b88482d44ac1-global-digital-media-trends-2025
GPT,Trends & Topics,Digital & Creator Marketing Trends 2025,"Get actionable insights into digital and creator marketing trends for 2025. This GPT synthesizes data on consumer behaviors, emerging technologies, media innovations, and creator marketing trends.",https://chatgpt.com/g/g-67830d64ed488191aa6dea02efaa10f9-digital-creator-marketing-trends-2025
GPT,Real-time Search,TikTok Trends,"This GPT uses real-time TikTok data to deliver actionable insights into trending hashtags, content formats, and audience behavior. It helps creators, marketers, and brands uncover viral opportunities, craft high-performing content strategies, and stay ahead of cultural trends while identifying emerging patterns in platform engagement and niche communities.",https://chatgpt.com/g/g-68131acf392c819190c9a0bb1a075b07-tiktok-trends
GPT,Writing,Smart Brevity Assistant,"This GPT transforms raw content into Smart Brevity format—prioritizing clarity, brevity, and impact. It helps users streamline communication for emails, reports, and social posts by highlighting key takeaways, cutting fluff, and enhancing engagement.",https://chatgpt.com/g/g-67a54c04f36481919a75a6a0960e4799-smart-brevity-assistant
GPT,Trends & Topics,Travel & Tourism Insights,"This GPT provides strategic insights into evolving travel and tourism trends, with a focus on U.S. travelers and island destinations. It analyzes traveler motivations, demographic shifts, booking behaviors, and sustainability expectations to help brands tailor experiences, optimize campaigns, and stay ahead of industry changes.",https://chatgpt.com/g/g-67dc3f99ba1c81918dce53fd95564dc1-travel-tourism-insights
GPT,Trends & Topics,Private Wealth Insights,"This GPT uses proprietary HNWI research and audience data to uncover wealth trends, investment behavior, and lifestyle patterns among affluent Americans. It helps brands and financial institutions anticipate market shifts, tailor engagement strategies, and address the evolving expectations of high-net-worth clients.",https://chatgpt.com/g/g-67ddb157eb4481919cbd92c455049717-private-wealth-insights
GPT,Real-time Search,Google News Media Coverage,"This GPT analyzes real-time news coverage to uncover trends in executive leadership, company reputation, and industry narratives. It helps users track key people and organizations, understand media sentiment, and identify emerging business or political storylines.",https://chatgpt.com/g/g-681160f0066c8191bd7527c3367a40d5-google-news-media-coverage
Resource,Prompt Library,,,https://djeholdingsdrive-my.sharepoint.com/:l:/g/personal/michael_brito_zenogroup_com/FL0KIJBpmT9HsnXBL8cjiwwBsegsMxYXHgPt5syHLCdnXQ?e=ppeT8v
Resource,PPT,Zeno AI Hive,This presentation showcases how to use the AI Hive and use cases.,https://djeholdingsdrive-my.sharepoint.com/:p:/g/personal/michael_brito_zenogroup_com/EaWTjbBzx-9GlDWP_2RhKvcBYXojnlxIn3r4bwukb22eYA?e=2a5oA6
Resource,Word Doc,AI Hive Prompts,A list of prompts that can be used with the AI Hive or any custom GPT.,https://djeholdingsdrive-my.sharepoint.com/:w:/g/personal/michael_brito_zenogroup_com/EbIO6zjUqnpPs_nwRtz1VwgB2k0HkB2GflrE_pXJxXKSGg?e=CaJCht
GPT,Deep Research,Understanding Small Business Globally,"This GPT is designed to help users analyze and understand regional differences in small business culture and terminology across France, Germany, the UK, India, Japan, and Brazil. It uses the uploaded reference document to answer questions about how the concept of ""small business"" is perceived in these regions and what alternative terms or ideas might be more appropriate.",https://chatgpt.com/g/g-6818ef71188481918d56d279c06087c2-understanding-small-business-globally
Resource,Disclosures,Using AI in Client Work,"Best practice for disclosing AI use to a client is in the SOW. Below, we have language recommendations for the most common types of AI Usage in SOWs.",https://djeholdingsdrive.sharepoint.com/:u:/r/sites/EdelmanGenerativeAI/SitePages/Using%20AI%20In%20Client%20Work.aspx?csf=1&web=1&e=VFh0uL
Training,Fearless U,AI Copilot Training,"Copilot is an AI-powered web chat for work that allows organizations to unlock the benefits of generative AI today, such as better answers, greater efficiency, and new ways to be creative.",https://fearless.myabsorb.com/#/online-courses/9107c813-7973-4079-a442-3c790721f279
Training,Fearless U,ChatGPT 201: Writing Prompts and Building Custom GPTs,"Take your AI capability further with ChatGPT 201—built specifically for Edelman talent looking to deepen their impact through smarter prompt writing and custom GPT creation. This self-paced course is designed for colleagues across specialties—from earned media and brand strategy to research, analytics, and production—who want to streamline internal workflows, boost creative efficiency, and bring greater precision to client work using generative AI.",https://fearless.myabsorb.com/#/online-courses/5590f44d-22c3-4987-a5be-1e1d462c44ff
Training,Fearless U,AI 101: Compliance - DJEH,"Our mission is to transform DJEH into an AI-enabled enterprise, delivering new proprietary value at scale to our clients, empowering us to dominate the global communications landscape, and guiding the industry back to sustainable growth. Our goal is to infuse AI into every aspect of DJEH and take those learnings to drive change how communicators, communicate and drive thoughtful and smarter client engagements.",https://fearless.myabsorb.com/#/online-courses/1a6e142b-c442-4d46-8ae3-e0731fcbb9db
Training,Fearless U,ChatGPT 101: Introduction to ChatGPT,"In this course, you will learn how to use ChatGPT directly from the team at OpenAI to discover essential tips and tricks and what is covered in the ChatGPT Enterprise tool. You must complete the AI Compliance - DJEH mandatory training before beginning this course.",https://fearless.myabsorb.com/#/online-courses/d2586932-aed6-448c-b683-9bf5b9f6c981
GPT,Trends & Topics,ESG Insights Partner,"Advisory ESG (Environmental, Sustainability and Governance) insights for professionals in B2C consulting, strategy, and communications.",https://chatgpt.com/g/g-67c09aed210c8191bf186de1027fd4dc-esg-insights-partner
